Date Collected,Month,Day,Year,Plot,Sex,Weight,Species,Notes
7/16/13,7,16,2013,2,F,,DM,
7/16/13,7,,,7,M,33,DM,
7/16/13,7,,,3,M,,DM,
7/16/13,7,,,1,M,,DM,
7/18/13,7,,,3,M,40,DM,
7/18/13,7,,,7,M,48,DM,
7/18/13,7,,,4,F,29,DM,
7/18/13,7,,,4,F,46,DM,
7/18/13,7,,,7,M,36,DM,
7/18/13,7,,,7,F,35,DM,
7/18/13,7,,,8,F,22,DM,
7/18/13,7,,,7,F,42,DM,
7/18/13,7,,,4,F,41,DM,
7/18/13,7,,,6,F,37,DM,
8/19/13,,,,8,F,52,DO,
10/17/13,,,,3,F,33,DO,
10/17/13,,,,3,F,50,DO,
10/17/13,,,,17,F,48,DO,
10/17/13,,,,17,F,31,DO,
10/18/13,,,,8,F,41,DO,
11/12/13,,,,1,F,44,DO,
11/12/13,,,,1,M,48,DO,
11/14/13,,,,8,F,39,DO,
12/10/13,,,,9,F,40,DO,
12/10/13,,,,1,M,45,DO,
12/11/13,,,,8,F,41,DO,
11/12/13,,,,9,F,117,DS,
11/12/13,,,,1,F,121,DS,
11/12/13,,,,20,M,115,DS,
11/12/13,,,,9,F,120,DS,
11/13/13,,,,17,F,118,DS,
11/13/13,,,,11,F,126,DS,
11/13/13,,,,17,M,132,DS,scale not calibrated
11/13/13,,,,14,F,113,DS,scale not calibrated
11/13/13,,,,11,F,122,DS,
11/13/13,,,,4,F,107,DS,
11/13/13,,,,4,F,115,DS,
